Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
CA Osasuna,Francisco Jusué,25,Spain,Centre-Back,CB,£270Th.,Cultural Leonesa,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/francisco-jusue/profil/spieler/7727
Sevilla FC,Luís Fabiano,24,Brazil,Centre-Forward,CF,£9.00m,FC Porto,Portugal,£9.00m,In,2005,s,laliga,https://www.transfermarkt.co.uk/luis-fabiano/profil/spieler/19082
Sevilla FC,Frédéric Kanouté,27,Mali,Centre-Forward,CF,£6.75m,Tottenham Hotspur,England,£5.85m,In,2005,s,laliga,https://www.transfermarkt.co.uk/frederic-kanoute/profil/spieler/3700
Sevilla FC,Enzo Maresca,25,Italy,Central Midfield,CM,£6.75m,Juventus FC,Italy,£2.25m,In,2005,s,laliga,https://www.transfermarkt.co.uk/enzo-maresca/profil/spieler/16651
Sevilla FC,Ivica Dragutinovic,29,Serbia,Centre-Back,CB,£1.35m,Standard Liège,Belgium,£1.89m,In,2005,s,laliga,https://www.transfermarkt.co.uk/ivica-dragutinovic/profil/spieler/13453
Sevilla FC,Javier Saviola,23,Argentina,Second Striker,SS,£10.35m,FC Barcelona,Spain,Loan,In,2005,s,laliga,https://www.transfermarkt.co.uk/javier-saviola/profil/spieler/7611
Sevilla FC,Andrés Palop,31,Spain,Goalkeeper,GK,£1.80m,Valencia CF,Spain,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/andres-palop/profil/spieler/7563
Sevilla FC,Paco Gallardo,25,Spain,Right Midfield,RM,£810Th.,Getafe CF,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/paco-gallardo/profil/spieler/7708
Real Madrid,Sergio Ramos,19,Spain,Centre-Back,CB,£6.30m,Sevilla FC,Spain,£24.30m,In,2005,s,laliga,https://www.transfermarkt.co.uk/sergio-ramos/profil/spieler/25557
Real Madrid,Robinho,21,Brazil,Left Winger,LW,£22.50m,Santos FC,Brazil,£21.60m,In,2005,s,laliga,https://www.transfermarkt.co.uk/robinho/profil/spieler/15511
Real Madrid,Júlio Baptista,23,Brazil,Attacking Midfield,AM,£22.50m,Sevilla FC,Spain,£18.00m,In,2005,s,laliga,https://www.transfermarkt.co.uk/julio-baptista/profil/spieler/15952
Real Madrid,Carlos Diogo,21,Uruguay,Right-Back,RB,-,Club Atlético River Plate,Argentina,£4.50m,In,2005,s,laliga,https://www.transfermarkt.co.uk/carlos-diogo/profil/spieler/32233
Real Madrid,Pablo García,28,Uruguay,Defensive Midfield,DM,£3.83m,CA Osasuna,Spain,£3.60m,In,2005,s,laliga,https://www.transfermarkt.co.uk/pablo-garcia/profil/spieler/7737
Real Madrid,Diego López,23,Spain,Goalkeeper,GK,-,Real Madrid Castilla,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/diego-lopez/profil/spieler/34370
Real Madrid,José Manuel Jurado,19,Spain,Attacking Midfield,AM,£900Th.,Real Madrid Castilla,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/jose-manuel-jurado/profil/spieler/28261
Real Madrid,Roberto Soldado,20,Spain,Centre-Forward,CF,-,Real Madrid Castilla,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/roberto-soldado/profil/spieler/34870
Real Madrid,David Cobeño,23,Spain,Goalkeeper,GK,-,Real Madrid Castilla,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/david-cobeno/profil/spieler/37906
Real Madrid,Rubén de la Red,20,Spain,Central Midfield,CM,-,Real Madrid Castilla,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/ruben-de-la-red/profil/spieler/35522
Real Madrid,Óscar Miñambres,24,Spain,Right-Back,RB,£810Th.,RCD Espanyol Barcelona,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/oscar-minambres/profil/spieler/7516
Real Madrid,Carlos Sánchez,27,Spain,Goalkeeper,GK,£450Th.,Club Polideportivo Ejido,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/carlos-sanchez/profil/spieler/7509
Real Madrid,Rubén González,23,Spain,Centre-Back,CB,£810Th.,Albacete Balompié,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/ruben-gonzalez/profil/spieler/7519
Athletic Bilbao,Unai Expósito,25,Spain,Right-Back,RB,£270Th.,CA Osasuna,Spain,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/unai-exposito/profil/spieler/16579
Athletic Bilbao,Fernando Amorebieta,20,Venezuela,Centre-Back,CB,-,Bilbao Athletic,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/fernando-amorebieta/profil/spieler/35548
Athletic Bilbao,Anaitz Arbilla,18,Spain,Centre-Back,CB,-,CD Basconia,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/anaitz-arbilla/profil/spieler/71548
Athletic Bilbao,Francisco Tarantino,21,Spain,Centre-Back,CB,-,Bilbao Athletic,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/francisco-tarantino/profil/spieler/35572
Athletic Bilbao,Ustaritz,22,Spain,Centre-Back,CB,-,Bilbao Athletic,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/ustaritz/profil/spieler/35554
Athletic Bilbao,Ibon Gutiérrez,20,Spain,Central Midfield,CM,-,Bilbao Athletic,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/ibon-gutierrez/profil/spieler/35520
Athletic Bilbao,Mikel Dañobeitia,19,Spain,Left Winger,LW,-,Bilbao Athletic,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/mikel-danobeitia/profil/spieler/35566
Racing Santander,Felipe Melo,22,Brazil,Defensive Midfield,DM,-,RCD Mallorca,Spain,£1.80m,In,2005,s,laliga,https://www.transfermarkt.co.uk/felipe-melo/profil/spieler/35537
Racing Santander,Vitolo,21,Spain,Defensive Midfield,DM,-,CD Tenerife,Spain,£1.08m,In,2005,s,laliga,https://www.transfermarkt.co.uk/vitolo/profil/spieler/27667
Racing Santander,Stéphane Dalmat,26,France,Central Midfield,CM,£6.30m,FC Internazionale,Italy,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/stephane-dalmat/profil/spieler/7259
Racing Santander,Javier Casquero,29,Spain,Defensive Midfield,DM,£270Th.,Sevilla FC,Spain,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/javier-casquero/profil/spieler/7705
Racing Santander,Wilfried Dalmat,23,Saint-Martin,Right Winger,RW,£450Th.,Grenoble Foot 38,France,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/wilfried-dalmat/profil/spieler/5516
Racing Santander,Óscar Serrano,23,Spain,Left Midfield,LM,£270Th.,RCD Espanyol Barcelona,Spain,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/oscar-serrano/profil/spieler/26373
Racing Santander,Pablo Pinillos,30,Spain,Right-Back,RB,£360Th.,Levante UD,Spain,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/pablo-pinillos/profil/spieler/23290
Racing Santander,Antoñito,27,Spain,Centre-Forward,CF,£810Th.,Sevilla FC,Spain,Loan,In,2005,s,laliga,https://www.transfermarkt.co.uk/antonito/profil/spieler/7715
Racing Santander,Samuel San José,21,Spain,Centre-Back,CB,-,Racing de Santander B,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/samuel-san-jose/profil/spieler/35535
Racing Santander,Juanjo Expósito,19,Spain,Centre-Forward,CF,-,Racing de Santander B,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/juanjo-exposito/profil/spieler/35534
Racing Santander,Neru,31,Spain,Left-Back,LB,£45Th.,Sporting Gijón,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/neru/profil/spieler/7855
Racing Santander,Omri Afek,26,Israel,Attacking Midfield,AM,£360Th.,UD Salamanca,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/omri-afek/profil/spieler/16119
Racing Santander,Raúl Martín,22,Spain,Right Midfield,RM,£45Th.,Gimnástica Torrelavega,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/raul-martin/profil/spieler/16123
Real Sociedad,Daniel Cifuentes,25,Spain,Right-Back,RB,-,SD Eibar,Spain,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/daniel-cifuentes/profil/spieler/35552
Real Sociedad,Sergio Boris,25,Spain,Centre-Back,CB,£2.25m,Córdoba CF,Spain,?,In,2005,s,laliga,https://www.transfermarkt.co.uk/sergio-boris/profil/spieler/7469
Real Sociedad,Gaizka Garitano,29,Spain,Defensive Midfield,DM,-,SD Eibar,Spain,?,In,2005,s,laliga,https://www.transfermarkt.co.uk/gaizka-garitano/profil/spieler/35559
Real Sociedad,Álvaro Novo,27,Spain,Right Midfield,RM,£2.25m,Atlético Madrid,Spain,?,In,2005,s,laliga,https://www.transfermarkt.co.uk/alvaro-novo/profil/spieler/7687
Real Sociedad,Iñigo Díaz de Cerio,21,Spain,Centre-Forward,CF,-,Real Sociedad B,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/inigo-diaz-de-cerio/profil/spieler/38193
Real Sociedad,Miguel Ángel Sebastián Romero,25,Argentina,Right Midfield,RM,-,Club de Gimnasia y Esgrima La Plata,Argentina,"End of loanJul 5, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/miguel-angel-sebastian-romero/profil/spieler/56042
Real Sociedad,Gorka Larrea,21,Spain,Central Midfield,CM,-,Real Sociedad B,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/gorka-larrea/profil/spieler/35563
